Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC2_LinewidthStop
Temperature(C)= 22.7	Humidity(%)= 9.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.450E-3
-950.000E-9	-48.220E-3
-900.000E-9	-47.730E-3
-850.000E-9	-46.930E-3
-800.000E-9	-44.390E-3
-750.000E-9	-41.530E-3
-700.000E-9	-39.620E-3
-650.000E-9	-37.820E-3
-600.000E-9	-35.120E-3
-550.000E-9	-32.340E-3
-500.000E-9	-29.090E-3
-450.000E-9	-26.460E-3
-400.000E-9	-24.980E-3
-350.000E-9	-22.140E-3
-300.000E-9	-19.560E-3
-250.000E-9	-17.700E-3
-200.000E-9	-15.780E-3
-150.000E-9	-13.800E-3
-100.000E-9	-10.580E-3
-50.000E-9	-7.360E-3
0.000E+0	-4.340E-3
50.000E-9	-2.590E-3
100.000E-9	-840.000E-6
150.000E-9	2.170E-3
200.000E-9	4.360E-3
250.000E-9	7.350E-3
300.000E-9	10.460E-3
350.000E-9	12.140E-3
400.000E-9	15.130E-3
450.000E-9	17.970E-3
500.000E-9	20.720E-3
550.000E-9	22.570E-3
600.000E-9	25.320E-3
650.000E-9	27.040E-3
700.000E-9	30.120E-3
750.000E-9	33.270E-3
800.000E-9	35.930E-3
850.000E-9	37.550E-3
900.000E-9	40.350E-3
950.000E-9	43.160E-3
1.000E-6	45.100E-3
