Extended_Flutes_09-Nov-20_7:08:11 PM	Right_PQC2_LinewidthStop
Temperature(C)= 24.5	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-5.840E-3
-950.000E-9	-5.840E-3
-900.000E-9	-5.460E-3
-850.000E-9	-4.720E-3
-800.000E-9	-3.700E-3
-750.000E-9	-1.630E-3
-700.000E-9	450.000E-6
-650.000E-9	3.300E-3
-600.000E-9	6.150E-3
-550.000E-9	8.710E-3
-500.000E-9	10.860E-3
-450.000E-9	12.310E-3
-400.000E-9	13.140E-3
-350.000E-9	15.150E-3
-300.000E-9	17.520E-3
-250.000E-9	19.440E-3
-200.000E-9	22.770E-3
-150.000E-9	25.010E-3
-100.000E-9	27.930E-3
-50.000E-9	29.810E-3
0.000E+0	31.930E-3
50.000E-9	33.230E-3
100.000E-9	34.890E-3
150.000E-9	37.470E-3
200.000E-9	40.630E-3
250.000E-9	43.590E-3
300.000E-9	44.720E-3
350.000E-9	45.400E-3
400.000E-9	46.540E-3
450.000E-9	47.890E-3
500.000E-9	50.140E-3
550.000E-9	53.090E-3
600.000E-9	55.440E-3
650.000E-9	57.410E-3
700.000E-9	59.540E-3
750.000E-9	61.050E-3
800.000E-9	62.940E-3
850.000E-9	65.650E-3
900.000E-9	68.040E-3
950.000E-9	71.520E-3
1.000E-6	73.160E-3
