Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.2	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.520E-3
-950.000E-9	-48.520E-3
-900.000E-9	-47.570E-3
-850.000E-9	-46.610E-3
-800.000E-9	-44.220E-3
-750.000E-9	-41.350E-3
-700.000E-9	-38.710E-3
-650.000E-9	-36.050E-3
-600.000E-9	-33.630E-3
-550.000E-9	-32.180E-3
-500.000E-9	-30.470E-3
-450.000E-9	-27.550E-3
-400.000E-9	-25.590E-3
-350.000E-9	-22.410E-3
-300.000E-9	-19.460E-3
-250.000E-9	-17.730E-3
-200.000E-9	-14.770E-3
-150.000E-9	-12.040E-3
-100.000E-9	-10.300E-3
-50.000E-9	-7.320E-3
0.000E+0	-4.570E-3
50.000E-9	-2.820E-3
100.000E-9	170.000E-6
150.000E-9	2.940E-3
200.000E-9	5.700E-3
250.000E-9	8.480E-3
300.000E-9	11.000E-3
350.000E-9	13.540E-3
400.000E-9	16.080E-3
450.000E-9	18.620E-3
500.000E-9	20.150E-3
550.000E-9	22.960E-3
600.000E-9	24.740E-3
650.000E-9	27.810E-3
700.000E-9	29.860E-3
750.000E-9	32.940E-3
800.000E-9	36.020E-3
850.000E-9	38.860E-3
900.000E-9	41.690E-3
950.000E-9	44.280E-3
1.000E-6	45.830E-3
