Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC2_LinewidthStop
Temperature(C)= 22.2	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.850E-3
-950.000E-9	-48.620E-3
-900.000E-9	-48.160E-3
-850.000E-9	-47.190E-3
-800.000E-9	-45.780E-3
-750.000E-9	-42.680E-3
-700.000E-9	-39.470E-3
-650.000E-9	-37.540E-3
-600.000E-9	-34.580E-3
-550.000E-9	-32.870E-3
-500.000E-9	-29.990E-3
-450.000E-9	-28.050E-3
-400.000E-9	-25.120E-3
-350.000E-9	-23.120E-3
-300.000E-9	-21.160E-3
-250.000E-9	-17.900E-3
-200.000E-9	-14.900E-3
-150.000E-9	-11.910E-3
-100.000E-9	-10.160E-3
-50.000E-9	-7.430E-3
0.000E+0	-4.680E-3
50.000E-9	-1.910E-3
100.000E-9	850.000E-6
150.000E-9	3.390E-3
200.000E-9	6.000E-3
250.000E-9	8.560E-3
300.000E-9	11.110E-3
350.000E-9	12.640E-3
400.000E-9	14.400E-3
450.000E-9	17.440E-3
500.000E-9	19.490E-3
550.000E-9	22.700E-3
600.000E-9	25.790E-3
650.000E-9	28.620E-3
700.000E-9	30.420E-3
750.000E-9	33.370E-3
800.000E-9	36.180E-3
850.000E-9	39.030E-3
900.000E-9	41.870E-3
950.000E-9	44.440E-3
1.000E-6	47.000E-3
