Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.7	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.540E-3
-950.000E-9	-48.300E-3
-900.000E-9	-47.820E-3
-850.000E-9	-46.870E-3
-800.000E-9	-44.490E-3
-750.000E-9	-41.630E-3
-700.000E-9	-39.710E-3
-650.000E-9	-36.830E-3
-600.000E-9	-34.180E-3
-550.000E-9	-31.520E-3
-500.000E-9	-28.860E-3
-450.000E-9	-26.420E-3
-400.000E-9	-24.960E-3
-350.000E-9	-22.270E-3
-300.000E-9	-20.550E-3
-250.000E-9	-17.610E-3
-200.000E-9	-14.650E-3
-150.000E-9	-11.940E-3
-100.000E-9	-9.220E-3
-50.000E-9	-7.730E-3
0.000E+0	-4.990E-3
50.000E-9	-3.250E-3
100.000E-9	-250.000E-6
150.000E-9	2.740E-3
200.000E-9	5.500E-3
250.000E-9	8.270E-3
300.000E-9	10.790E-3
350.000E-9	13.320E-3
400.000E-9	15.850E-3
450.000E-9	17.370E-3
500.000E-9	20.170E-3
550.000E-9	22.960E-3
600.000E-9	25.770E-3
650.000E-9	27.550E-3
700.000E-9	29.340E-3
750.000E-9	32.420E-3
800.000E-9	34.470E-3
850.000E-9	37.810E-3
900.000E-9	40.900E-3
950.000E-9	43.740E-3
1.000E-6	45.550E-3
