Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.3	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.940E-3
-950.000E-9	-48.700E-3
-900.000E-9	-47.750E-3
-850.000E-9	-46.790E-3
-800.000E-9	-45.350E-3
-750.000E-9	-42.470E-3
-700.000E-9	-39.580E-3
-650.000E-9	-36.680E-3
-600.000E-9	-34.980E-3
-550.000E-9	-33.270E-3
-500.000E-9	-31.320E-3
-450.000E-9	-29.360E-3
-400.000E-9	-25.910E-3
-350.000E-9	-23.690E-3
-300.000E-9	-21.470E-3
-250.000E-9	-17.990E-3
-200.000E-9	-15.000E-3
-150.000E-9	-12.000E-3
-100.000E-9	-9.240E-3
-50.000E-9	-6.720E-3
0.000E+0	-4.200E-3
50.000E-9	-1.670E-3
100.000E-9	-140.000E-6
150.000E-9	2.640E-3
200.000E-9	5.450E-3
250.000E-9	8.260E-3
300.000E-9	11.080E-3
350.000E-9	13.650E-3
400.000E-9	15.190E-3
450.000E-9	18.030E-3
500.000E-9	19.840E-3
550.000E-9	22.940E-3
600.000E-9	26.050E-3
650.000E-9	28.900E-3
700.000E-9	30.720E-3
750.000E-9	33.590E-3
800.000E-9	35.420E-3
850.000E-9	38.560E-3
900.000E-9	40.650E-3
950.000E-9	43.800E-3
1.000E-6	45.900E-3
