Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.9	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-47.200E-3
-950.000E-9	-46.970E-3
-900.000E-9	-46.500E-3
-850.000E-9	-45.550E-3
-800.000E-9	-43.210E-3
-750.000E-9	-41.330E-3
-700.000E-9	-38.270E-3
-650.000E-9	-36.390E-3
-600.000E-9	-33.550E-3
-550.000E-9	-30.710E-3
-500.000E-9	-29.050E-3
-450.000E-9	-27.150E-3
-400.000E-9	-25.240E-3
-350.000E-9	-22.140E-3
-300.000E-9	-20.220E-3
-250.000E-9	-16.870E-3
-200.000E-9	-13.990E-3
-150.000E-9	-11.360E-3
-100.000E-9	-8.760E-3
-50.000E-9	-6.350E-3
0.000E+0	-3.840E-3
50.000E-9	-1.460E-3
100.000E-9	870.000E-6
150.000E-9	3.040E-3
200.000E-9	5.450E-3
250.000E-9	7.780E-3
300.000E-9	10.280E-3
350.000E-9	12.670E-3
400.000E-9	14.230E-3
450.000E-9	16.960E-3
500.000E-9	18.660E-3
550.000E-9	21.670E-3
600.000E-9	24.600E-3
650.000E-9	27.300E-3
700.000E-9	29.970E-3
750.000E-9	32.360E-3
800.000E-9	33.920E-3
850.000E-9	35.590E-3
900.000E-9	37.540E-3
950.000E-9	40.700E-3
1.000E-6	43.840E-3
