Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC2_LinewidthStop
Temperature(C)= 20.3	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-52.350E-3
-950.000E-9	-54.490E-3
-900.000E-9	-55.420E-3
-850.000E-9	-54.100E-3
-800.000E-9	-52.980E-3
-750.000E-9	-52.240E-3
-700.000E-9	-51.440E-3
-650.000E-9	-50.820E-3
-600.000E-9	-47.740E-3
-550.000E-9	-42.420E-3
-500.000E-9	-38.890E-3
-450.000E-9	-36.980E-3
-400.000E-9	-36.450E-3
-350.000E-9	-36.470E-3
-300.000E-9	-33.680E-3
-250.000E-9	-30.300E-3
-200.000E-9	-26.960E-3
-150.000E-9	-24.810E-3
-100.000E-9	-22.600E-3
-50.000E-9	-17.610E-3
0.000E+0	-14.630E-3
50.000E-9	-11.030E-3
100.000E-9	-8.990E-3
150.000E-9	-7.810E-3
200.000E-9	-5.480E-3
250.000E-9	-3.510E-3
300.000E-9	250.000E-6
350.000E-9	4.250E-3
400.000E-9	6.110E-3
450.000E-9	7.170E-3
500.000E-9	8.000E-3
550.000E-9	9.740E-3
600.000E-9	13.120E-3
650.000E-9	15.710E-3
700.000E-9	18.880E-3
750.000E-9	21.840E-3
800.000E-9	26.350E-3
850.000E-9	29.670E-3
900.000E-9	33.540E-3
950.000E-9	36.390E-3
1.000E-6	39.840E-3
