Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC2_LinewidthStop
Temperature(C)= 21.8	Humidity(%)= 8.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.040E-3
-950.000E-9	-47.810E-3
-900.000E-9	-46.860E-3
-850.000E-9	-45.920E-3
-800.000E-9	-43.550E-3
-750.000E-9	-40.930E-3
-700.000E-9	-39.270E-3
-650.000E-9	-36.400E-3
-600.000E-9	-33.760E-3
-550.000E-9	-31.110E-3
-500.000E-9	-28.460E-3
-450.000E-9	-27.010E-3
-400.000E-9	-24.340E-3
-350.000E-9	-21.670E-3
-300.000E-9	-18.990E-3
-250.000E-9	-17.280E-3
-200.000E-9	-15.570E-3
-150.000E-9	-13.610E-3
-100.000E-9	-10.410E-3
-50.000E-9	-7.210E-3
0.000E+0	-4.250E-3
50.000E-9	-1.530E-3
100.000E-9	950.000E-6
150.000E-9	2.440E-3
200.000E-9	5.180E-3
250.000E-9	7.920E-3
300.000E-9	10.670E-3
350.000E-9	13.430E-3
400.000E-9	15.930E-3
450.000E-9	18.450E-3
500.000E-9	20.970E-3
550.000E-9	23.490E-3
600.000E-9	26.020E-3
650.000E-9	28.550E-3
700.000E-9	31.080E-3
750.000E-9	33.620E-3
800.000E-9	36.160E-3
850.000E-9	38.710E-3
900.000E-9	41.260E-3
950.000E-9	43.810E-3
1.000E-6	46.370E-3
