Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC2_LinewidthStop
Temperature(C)= 22.0	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.980E-3
-950.000E-9	-49.060E-3
-900.000E-9	-48.240E-3
-850.000E-9	-46.500E-3
-800.000E-9	-44.050E-3
-750.000E-9	-41.560E-3
-700.000E-9	-39.020E-3
-650.000E-9	-37.340E-3
-600.000E-9	-34.760E-3
-550.000E-9	-32.010E-3
-500.000E-9	-29.650E-3
-450.000E-9	-27.200E-3
-400.000E-9	-24.540E-3
-350.000E-9	-22.080E-3
-300.000E-9	-19.620E-3
-250.000E-9	-17.910E-3
-200.000E-9	-15.220E-3
-150.000E-9	-12.470E-3
-100.000E-9	-10.700E-3
-50.000E-9	-7.890E-3
0.000E+0	-5.310E-3
50.000E-9	-2.440E-3
100.000E-9	-700.000E-6
150.000E-9	2.180E-3
200.000E-9	5.010E-3
250.000E-9	7.820E-3
300.000E-9	10.440E-3
350.000E-9	12.920E-3
400.000E-9	15.380E-3
450.000E-9	17.960E-3
500.000E-9	20.580E-3
550.000E-9	23.240E-3
600.000E-9	25.950E-3
650.000E-9	27.450E-3
700.000E-9	30.450E-3
750.000E-9	33.190E-3
800.000E-9	36.210E-3
850.000E-9	39.040E-3
900.000E-9	40.650E-3
950.000E-9	42.480E-3
1.000E-6	45.250E-3
