Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC2_LinewidthStop
Temperature(C)= 23.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.620E-3
-950.000E-9	-48.620E-3
-900.000E-9	-47.680E-3
-850.000E-9	-46.010E-3
-800.000E-9	-43.630E-3
-750.000E-9	-41.960E-3
-700.000E-9	-39.330E-3
-650.000E-9	-36.680E-3
-600.000E-9	-34.030E-3
-550.000E-9	-32.340E-3
-500.000E-9	-29.660E-3
-450.000E-9	-27.960E-3
-400.000E-9	-25.030E-3
-350.000E-9	-23.070E-3
-300.000E-9	-21.110E-3
-250.000E-9	-17.910E-3
-200.000E-9	-14.940E-3
-150.000E-9	-12.960E-3
-100.000E-9	-9.980E-3
-50.000E-9	-7.240E-3
0.000E+0	-4.490E-3
50.000E-9	-2.740E-3
100.000E-9	10.000E-6
150.000E-9	2.780E-3
200.000E-9	4.540E-3
250.000E-9	6.560E-3
300.000E-9	9.600E-3
350.000E-9	11.630E-3
400.000E-9	14.930E-3
450.000E-9	17.980E-3
500.000E-9	20.790E-3
550.000E-9	23.600E-3
600.000E-9	25.140E-3
650.000E-9	27.960E-3
700.000E-9	30.790E-3
750.000E-9	33.620E-3
800.000E-9	36.450E-3
850.000E-9	39.030E-3
900.000E-9	41.620E-3
950.000E-9	43.170E-3
1.000E-6	44.990E-3
