Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC2_LinewidthStop
Temperature(C)= 22.0	Humidity(%)= 9.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-47.570E-3
-950.000E-9	-47.340E-3
-900.000E-9	-46.880E-3
-850.000E-9	-45.240E-3
-800.000E-9	-43.840E-3
-750.000E-9	-41.030E-3
-700.000E-9	-38.220E-3
-650.000E-9	-35.620E-3
-600.000E-9	-33.020E-3
-550.000E-9	-30.650E-3
-500.000E-9	-29.220E-3
-450.000E-9	-27.560E-3
-400.000E-9	-24.690E-3
-350.000E-9	-22.780E-3
-300.000E-9	-20.860E-3
-250.000E-9	-17.490E-3
-200.000E-9	-14.590E-3
-150.000E-9	-12.660E-3
-100.000E-9	-9.740E-3
-50.000E-9	-7.070E-3
0.000E+0	-4.380E-3
50.000E-9	-2.680E-3
100.000E-9	10.000E-6
150.000E-9	2.710E-3
200.000E-9	5.420E-3
250.000E-9	7.140E-3
300.000E-9	9.860E-3
350.000E-9	12.590E-3
400.000E-9	14.330E-3
450.000E-9	17.310E-3
500.000E-9	19.050E-3
550.000E-9	22.050E-3
600.000E-9	25.050E-3
650.000E-9	26.810E-3
700.000E-9	28.810E-3
750.000E-9	31.830E-3
800.000E-9	33.840E-3
850.000E-9	37.120E-3
900.000E-9	40.160E-3
950.000E-9	42.940E-3
1.000E-6	45.740E-3
