Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC2_LinewidthStop
Temperature(C)= 21.1	Humidity(%)= 9.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.170E-3
-950.000E-9	-48.170E-3
-900.000E-9	-47.230E-3
-850.000E-9	-46.280E-3
-800.000E-9	-43.920E-3
-750.000E-9	-41.070E-3
-700.000E-9	-39.410E-3
-650.000E-9	-36.540E-3
-600.000E-9	-34.860E-3
-550.000E-9	-31.970E-3
-500.000E-9	-29.070E-3
-450.000E-9	-26.400E-3
-400.000E-9	-24.700E-3
-350.000E-9	-22.990E-3
-300.000E-9	-20.050E-3
-250.000E-9	-17.100E-3
-200.000E-9	-14.150E-3
-150.000E-9	-11.430E-3
-100.000E-9	-8.940E-3
-50.000E-9	-6.450E-3
0.000E+0	-3.960E-3
50.000E-9	-2.460E-3
100.000E-9	290.000E-6
150.000E-9	3.060E-3
200.000E-9	4.820E-3
250.000E-9	7.850E-3
300.000E-9	10.640E-3
350.000E-9	13.430E-3
400.000E-9	16.230E-3
450.000E-9	18.780E-3
500.000E-9	21.330E-3
550.000E-9	23.890E-3
600.000E-9	26.450E-3
650.000E-9	27.990E-3
700.000E-9	30.820E-3
750.000E-9	33.660E-3
800.000E-9	35.460E-3
850.000E-9	38.560E-3
900.000E-9	40.380E-3
950.000E-9	42.450E-3
1.000E-6	45.830E-3
