Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC2_LinewidthStop
Temperature(C)= 22.0	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-48.160E-3
-950.000E-9	-48.160E-3
-900.000E-9	-47.220E-3
-850.000E-9	-46.270E-3
-800.000E-9	-43.910E-3
-750.000E-9	-41.070E-3
-700.000E-9	-38.460E-3
-650.000E-9	-36.790E-3
-600.000E-9	-35.110E-3
-550.000E-9	-33.190E-3
-500.000E-9	-31.260E-3
-450.000E-9	-27.880E-3
-400.000E-9	-24.490E-3
-350.000E-9	-22.540E-3
-300.000E-9	-20.590E-3
-250.000E-9	-17.650E-3
-200.000E-9	-15.680E-3
-150.000E-9	-12.470E-3
-100.000E-9	-10.490E-3
-50.000E-9	-8.510E-3
0.000E+0	-5.270E-3
50.000E-9	-3.270E-3
100.000E-9	-1.270E-3
150.000E-9	2.240E-3
200.000E-9	5.270E-3
250.000E-9	7.290E-3
300.000E-9	9.310E-3
350.000E-9	12.360E-3
400.000E-9	15.420E-3
450.000E-9	18.490E-3
500.000E-9	21.310E-3
550.000E-9	22.850E-3
600.000E-9	25.680E-3
650.000E-9	28.510E-3
700.000E-9	31.350E-3
750.000E-9	34.200E-3
800.000E-9	35.750E-3
850.000E-9	37.570E-3
900.000E-9	40.690E-3
950.000E-9	43.820E-3
1.000E-6	46.950E-3
