Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.8	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-289.450E-3
-9.000E-9	-299.480E-3
-8.000E-9	-294.520E-3
-7.000E-9	-275.340E-3
-6.000E-9	-257.080E-3
-5.000E-9	-232.690E-3
-4.000E-9	-193.140E-3
-3.000E-9	-168.710E-3
-2.000E-9	-129.180E-3
-1.000E-9	-94.430E-3
0.000E+0	-60.940E-3
1.000E-9	-39.640E-3
2.000E-9	-16.920E-3
3.000E-9	19.810E-3
4.000E-9	44.150E-3
5.000E-9	70.090E-3
6.000E-9	111.390E-3
7.000E-9	135.820E-3
8.000E-9	161.820E-3
9.000E-9	202.920E-3
10.000E-9	227.260E-3
