Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 21.6	Humidity(%)= 7.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-268.360E-3
-9.000E-9	-275.720E-3
-8.000E-9	-266.820E-3
-7.000E-9	-248.940E-3
-6.000E-9	-222.170E-3
-5.000E-9	-193.920E-3
-4.000E-9	-165.740E-3
-3.000E-9	-147.530E-3
-2.000E-9	-126.540E-3
-1.000E-9	-92.990E-3
0.000E+0	-59.320E-3
1.000E-9	-26.900E-3
2.000E-9	2.690E-3
3.000E-9	20.910E-3
4.000E-9	41.790E-3
5.000E-9	75.490E-3
6.000E-9	109.170E-3
7.000E-9	131.690E-3
8.000E-9	164.110E-3
9.000E-9	185.090E-3
10.000E-9	218.900E-3
