Extended_Flutes_18-Nov-20_1:04:58 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.3	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-306.980E-3
-9.000E-9	-319.600E-3
-8.000E-9	-311.130E-3
-7.000E-9	-298.860E-3
-6.000E-9	-279.630E-3
-5.000E-9	-253.620E-3
-4.000E-9	-224.280E-3
-3.000E-9	-193.300E-3
-2.000E-9	-160.680E-3
-1.000E-9	-128.160E-3
0.000E+0	-81.140E-3
1.000E-9	-51.860E-3
2.000E-9	-7.870E-3
3.000E-9	29.600E-3
4.000E-9	65.410E-3
5.000E-9	99.620E-3
6.000E-9	132.220E-3
7.000E-9	164.940E-3
8.000E-9	186.270E-3
9.000E-9	210.780E-3
10.000E-9	236.800E-3
