Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 23.7	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-281.230E-3
-9.000E-9	-289.980E-3
-8.000E-9	-285.120E-3
-7.000E-9	-273.850E-3
-6.000E-9	-256.280E-3
-5.000E-9	-219.520E-3
-4.000E-9	-181.490E-3
-3.000E-9	-157.910E-3
-2.000E-9	-124.270E-3
-1.000E-9	-91.880E-3
0.000E+0	-59.410E-3
1.000E-9	-28.800E-3
2.000E-9	-9.610E-3
3.000E-9	22.590E-3
4.000E-9	44.510E-3
5.000E-9	80.050E-3
6.000E-9	113.940E-3
7.000E-9	136.030E-3
8.000E-9	159.600E-3
9.000E-9	194.790E-3
10.000E-9	230.090E-3
