Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 21.7	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-297.310E-3
-9.000E-9	-306.490E-3
-8.000E-9	-301.270E-3
-7.000E-9	-281.950E-3
-6.000E-9	-263.510E-3
-5.000E-9	-238.810E-3
-4.000E-9	-212.490E-3
-3.000E-9	-184.600E-3
-2.000E-9	-155.110E-3
-1.000E-9	-124.050E-3
0.000E+0	-79.190E-3
1.000E-9	-37.220E-3
2.000E-9	-1.570E-3
3.000E-9	30.720E-3
4.000E-9	50.730E-3
5.000E-9	73.800E-3
6.000E-9	98.600E-3
7.000E-9	124.850E-3
8.000E-9	154.310E-3
9.000E-9	185.380E-3
10.000E-9	216.380E-3
