Extended_Flutes_18-Nov-20_10:40:59 AM	Right_PQC4_CCPoly_IV
Temperature(C)= 21.0	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-359.930E-3
-9.000E-9	-378.650E-3
-8.000E-9	-375.460E-3
-7.000E-9	-361.650E-3
-6.000E-9	-326.140E-3
-5.000E-9	-278.180E-3
-4.000E-9	-247.000E-3
-3.000E-9	-215.790E-3
-2.000E-9	-184.720E-3
-1.000E-9	-151.540E-3
0.000E+0	-97.100E-3
1.000E-9	-62.130E-3
2.000E-9	-27.180E-3
3.000E-9	25.000E-3
4.000E-9	71.580E-3
5.000E-9	102.790E-3
6.000E-9	134.000E-3
7.000E-9	165.150E-3
8.000E-9	216.000E-3
9.000E-9	266.720E-3
10.000E-9	297.830E-3
