Extended_Flutes_13-Nov-20_10:42:36 AM	Left_PQC4_CCPoly_IV
Temperature(C)= 21.5	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-266.410E-3
-9.000E-9	-273.820E-3
-8.000E-9	-269.010E-3
-7.000E-9	-251.440E-3
-6.000E-9	-224.790E-3
-5.000E-9	-193.930E-3
-4.000E-9	-174.530E-3
-3.000E-9	-153.910E-3
-2.000E-9	-131.920E-3
-1.000E-9	-108.520E-3
0.000E+0	-69.710E-3
1.000E-9	-32.030E-3
2.000E-9	-50.000E-6
3.000E-9	19.380E-3
4.000E-9	40.070E-3
5.000E-9	73.520E-3
6.000E-9	106.930E-3
7.000E-9	129.150E-3
8.000E-9	161.190E-3
9.000E-9	191.650E-3
10.000E-9	222.150E-3
