Custom_Flutes_23-Nov-20_3:55:23 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 21.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-268.100E-3
-9.000E-9	-276.100E-3
-8.000E-9	-271.800E-3
-7.000E-9	-261.210E-3
-6.000E-9	-234.940E-3
-5.000E-9	-199.890E-3
-4.000E-9	-177.450E-3
-3.000E-9	-154.990E-3
-2.000E-9	-121.380E-3
-1.000E-9	-87.850E-3
0.000E+0	-55.630E-3
1.000E-9	-26.230E-3
2.000E-9	1.700E-3
3.000E-9	29.660E-3
4.000E-9	57.680E-3
5.000E-9	85.870E-3
6.000E-9	103.950E-3
7.000E-9	134.840E-3
8.000E-9	165.540E-3
9.000E-9	196.180E-3
10.000E-9	225.660E-3
