Custom_Flutes_23-Nov-20_3:33:20 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 21.4	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-260.040E-3
-9.000E-9	-266.720E-3
-8.000E-9	-258.100E-3
-7.000E-9	-240.760E-3
-6.000E-9	-224.480E-3
-5.000E-9	-194.620E-3
-4.000E-9	-174.340E-3
-3.000E-9	-141.860E-3
-2.000E-9	-110.670E-3
-1.000E-9	-80.800E-3
0.000E+0	-52.270E-3
1.000E-9	-34.750E-3
2.000E-9	-14.530E-3
3.000E-9	7.140E-3
4.000E-9	29.970E-3
5.000E-9	67.940E-3
6.000E-9	92.370E-3
7.000E-9	129.100E-3
8.000E-9	150.860E-3
9.000E-9	172.520E-3
10.000E-9	207.700E-3
