Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 23.4	Humidity(%)= 7.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-254.580E-3
-9.000E-9	-261.370E-3
-8.000E-9	-257.210E-3
-7.000E-9	-240.340E-3
-6.000E-9	-224.490E-3
-5.000E-9	-191.450E-3
-4.000E-9	-170.210E-3
-3.000E-9	-138.420E-3
-2.000E-9	-117.280E-3
-1.000E-9	-96.130E-3
0.000E+0	-61.880E-3
1.000E-9	-40.770E-3
2.000E-9	-6.370E-3
3.000E-9	23.820E-3
4.000E-9	43.380E-3
5.000E-9	64.650E-3
6.000E-9	96.280E-3
7.000E-9	117.730E-3
8.000E-9	140.250E-3
9.000E-9	163.920E-3
10.000E-9	187.500E-3
