Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 23.4	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-286.770E-3
-9.000E-9	-296.580E-3
-8.000E-9	-288.320E-3
-7.000E-9	-276.860E-3
-6.000E-9	-248.430E-3
-5.000E-9	-224.400E-3
-4.000E-9	-200.350E-3
-3.000E-9	-161.250E-3
-2.000E-9	-137.300E-3
-1.000E-9	-98.250E-3
0.000E+0	-63.700E-3
1.000E-9	-41.220E-3
2.000E-9	-6.450E-3
3.000E-9	26.420E-3
4.000E-9	59.300E-3
5.000E-9	80.370E-3
6.000E-9	113.150E-3
7.000E-9	135.730E-3
8.000E-9	159.810E-3
9.000E-9	185.320E-3
10.000E-9	212.280E-3
