Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-289.830E-3
-9.000E-9	-299.900E-3
-8.000E-9	-295.560E-3
-7.000E-9	-284.180E-3
-6.000E-9	-266.260E-3
-5.000E-9	-228.590E-3
-4.000E-9	-187.590E-3
-3.000E-9	-152.660E-3
-2.000E-9	-120.760E-3
-1.000E-9	-90.250E-3
0.000E+0	-59.900E-3
1.000E-9	-29.470E-3
2.000E-9	1.130E-3
3.000E-9	20.900E-3
4.000E-9	43.600E-3
5.000E-9	67.950E-3
6.000E-9	93.730E-3
7.000E-9	135.920E-3
8.000E-9	163.310E-3
9.000E-9	204.360E-3
10.000E-9	239.180E-3
