Custom_Flutes_23-Nov-20_4:30:10 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 21.7	Humidity(%)= 11.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-252.790E-3
-9.000E-9	-259.630E-3
-8.000E-9	-255.430E-3
-7.000E-9	-238.950E-3
-6.000E-9	-223.310E-3
-5.000E-9	-202.270E-3
-4.000E-9	-178.570E-3
-3.000E-9	-142.810E-3
-2.000E-9	-108.680E-3
-1.000E-9	-78.390E-3
0.000E+0	-50.680E-3
1.000E-9	-33.820E-3
2.000E-9	-4.850E-3
3.000E-9	24.040E-3
4.000E-9	52.860E-3
5.000E-9	80.740E-3
6.000E-9	106.990E-3
7.000E-9	133.480E-3
8.000E-9	150.480E-3
9.000E-9	179.270E-3
10.000E-9	208.130E-3
