Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-290.590E-3
-9.000E-9	-300.940E-3
-8.000E-9	-296.600E-3
-7.000E-9	-277.820E-3
-6.000E-9	-259.670E-3
-5.000E-9	-221.510E-3
-4.000E-9	-197.040E-3
-3.000E-9	-172.560E-3
-2.000E-9	-132.820E-3
-1.000E-9	-108.450E-3
0.000E+0	-68.730E-3
1.000E-9	-33.710E-3
2.000E-9	-130.000E-6
3.000E-9	31.590E-3
4.000E-9	51.330E-3
5.000E-9	74.320E-3
6.000E-9	110.920E-3
7.000E-9	135.400E-3
8.000E-9	175.470E-3
9.000E-9	210.610E-3
10.000E-9	233.490E-3
