Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.5	Humidity(%)= 6.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-254.460E-3
-9.000E-9	-261.180E-3
-8.000E-9	-253.260E-3
-7.000E-9	-243.100E-3
-6.000E-9	-227.220E-3
-5.000E-9	-194.140E-3
-4.000E-9	-162.450E-3
-3.000E-9	-132.070E-3
-2.000E-9	-104.270E-3
-1.000E-9	-77.850E-3
0.000E+0	-51.420E-3
1.000E-9	-34.230E-3
2.000E-9	-4.990E-3
3.000E-9	14.670E-3
4.000E-9	46.350E-3
5.000E-9	76.920E-3
6.000E-9	105.930E-3
7.000E-9	133.950E-3
8.000E-9	150.990E-3
9.000E-9	180.200E-3
10.000E-9	209.120E-3
