Extended_Flutes_19-Nov-20_3:17:02 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.2	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-266.330E-3
-9.000E-9	-274.130E-3
-8.000E-9	-269.430E-3
-7.000E-9	-251.440E-3
-6.000E-9	-224.820E-3
-5.000E-9	-203.880E-3
-4.000E-9	-181.610E-3
-3.000E-9	-148.200E-3
-2.000E-9	-115.010E-3
-1.000E-9	-92.820E-3
0.000E+0	-60.810E-3
1.000E-9	-30.310E-3
2.000E-9	200.000E-6
3.000E-9	29.430E-3
4.000E-9	57.140E-3
5.000E-9	84.960E-3
6.000E-9	112.820E-3
7.000E-9	140.720E-3
8.000E-9	168.590E-3
9.000E-9	186.600E-3
10.000E-9	217.230E-3
