Extended_Flutes_17-Nov-20_3:30:54 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.3	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-283.350E-3
-9.000E-9	-292.880E-3
-8.000E-9	-287.950E-3
-7.000E-9	-269.300E-3
-6.000E-9	-240.910E-3
-5.000E-9	-218.500E-3
-4.000E-9	-184.140E-3
-3.000E-9	-161.740E-3
-2.000E-9	-126.250E-3
-1.000E-9	-102.430E-3
0.000E+0	-66.850E-3
1.000E-9	-32.620E-3
2.000E-9	240.000E-6
3.000E-9	31.630E-3
4.000E-9	51.130E-3
5.000E-9	84.130E-3
6.000E-9	117.020E-3
7.000E-9	139.330E-3
8.000E-9	163.260E-3
9.000E-9	187.100E-3
10.000E-9	225.810E-3
