Extended_Flutes_12-Nov-20_1:23:34 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.2	Humidity(%)= 7.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-286.150E-3
-9.000E-9	-295.410E-3
-8.000E-9	-290.410E-3
-7.000E-9	-271.600E-3
-6.000E-9	-243.100E-3
-5.000E-9	-210.070E-3
-4.000E-9	-178.400E-3
-3.000E-9	-159.020E-3
-2.000E-9	-126.230E-3
-1.000E-9	-103.870E-3
0.000E+0	-67.980E-3
1.000E-9	-44.030E-3
2.000E-9	-7.750E-3
3.000E-9	16.230E-3
4.000E-9	52.120E-3
5.000E-9	76.170E-3
6.000E-9	111.940E-3
7.000E-9	135.980E-3
8.000E-9	172.150E-3
9.000E-9	206.570E-3
10.000E-9	229.040E-3
