Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 21.1	Humidity(%)= 14.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-330.880E-3
-9.000E-9	-346.040E-3
-8.000E-9	-342.040E-3
-7.000E-9	-320.570E-3
-6.000E-9	-299.860E-3
-5.000E-9	-256.110E-3
-4.000E-9	-215.610E-3
-3.000E-9	-176.860E-3
-2.000E-9	-140.030E-3
-1.000E-9	-116.900E-3
0.000E+0	-77.980E-3
1.000E-9	-51.320E-3
2.000E-9	-23.100E-3
3.000E-9	22.820E-3
4.000E-9	65.070E-3
5.000E-9	105.630E-3
6.000E-9	142.630E-3
7.000E-9	165.900E-3
8.000E-9	204.960E-3
9.000E-9	243.940E-3
10.000E-9	270.590E-3
