Extended_Flutes_20-Nov-20_5:25:05 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.1	Humidity(%)= 14.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-320.030E-3
-9.000E-9	-334.260E-3
-8.000E-9	-324.600E-3
-7.000E-9	-311.600E-3
-6.000E-9	-291.300E-3
-5.000E-9	-264.060E-3
-4.000E-9	-235.060E-3
-3.000E-9	-187.370E-3
-2.000E-9	-156.770E-3
-1.000E-9	-126.230E-3
0.000E+0	-80.440E-3
1.000E-9	-53.270E-3
2.000E-9	-9.300E-3
3.000E-9	29.630E-3
4.000E-9	66.870E-3
5.000E-9	102.540E-3
6.000E-9	136.780E-3
7.000E-9	171.040E-3
8.000E-9	205.030E-3
9.000E-9	227.270E-3
10.000E-9	252.870E-3
