Extended_Flutes_17-Nov-20_5:48:21 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.9	Humidity(%)= 6.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-239.200E-3
-9.000E-9	-259.530E-3
-8.000E-9	-277.280E-3
-7.000E-9	-278.900E-3
-6.000E-9	-263.560E-3
-5.000E-9	-244.600E-3
-4.000E-9	-210.360E-3
-3.000E-9	-175.700E-3
-2.000E-9	-140.690E-3
-1.000E-9	-118.010E-3
0.000E+0	-82.720E-3
1.000E-9	-58.860E-3
2.000E-9	-21.490E-3
3.000E-9	13.840E-3
4.000E-9	48.500E-3
5.000E-9	72.160E-3
6.000E-9	112.040E-3
7.000E-9	150.210E-3
8.000E-9	180.040E-3
9.000E-9	218.220E-3
10.000E-9	258.900E-3
