Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-380.140E-3
-9.000E-9	-390.010E-3
-8.000E-9	-385.090E-3
-7.000E-9	-360.990E-3
-6.000E-9	-337.360E-3
-5.000E-9	-288.250E-3
-4.000E-9	-242.920E-3
-3.000E-9	-199.420E-3
-2.000E-9	-171.720E-3
-1.000E-9	-128.080E-3
0.000E+0	-84.420E-3
1.000E-9	-40.750E-3
2.000E-9	-13.050E-3
3.000E-9	16.910E-3
4.000E-9	48.580E-3
5.000E-9	100.100E-3
6.000E-9	151.750E-3
7.000E-9	197.240E-3
8.000E-9	238.580E-3
9.000E-9	278.170E-3
10.000E-9	304.120E-3
