Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 21.8	Humidity(%)= 13.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-377.160E-3
-9.000E-9	-399.180E-3
-8.000E-9	-391.840E-3
-7.000E-9	-367.440E-3
-6.000E-9	-329.430E-3
-5.000E-9	-300.670E-3
-4.000E-9	-269.450E-3
-3.000E-9	-236.580E-3
-2.000E-9	-201.320E-3
-1.000E-9	-162.050E-3
0.000E+0	-102.940E-3
1.000E-9	-47.920E-3
2.000E-9	-750.000E-6
3.000E-9	42.030E-3
4.000E-9	82.860E-3
5.000E-9	123.870E-3
6.000E-9	150.570E-3
7.000E-9	195.660E-3
8.000E-9	226.890E-3
9.000E-9	259.640E-3
10.000E-9	312.840E-3
