Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 23.6	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-288.900E-3
-9.000E-9	-299.550E-3
-8.000E-9	-291.450E-3
-7.000E-9	-272.030E-3
-6.000E-9	-253.780E-3
-5.000E-9	-229.440E-3
-4.000E-9	-205.090E-3
-3.000E-9	-179.180E-3
-2.000E-9	-136.970E-3
-1.000E-9	-109.690E-3
0.000E+0	-68.720E-3
1.000E-9	-33.870E-3
2.000E-9	-100.000E-6
3.000E-9	31.860E-3
4.000E-9	62.160E-3
5.000E-9	92.650E-3
6.000E-9	122.900E-3
7.000E-9	142.650E-3
8.000E-9	165.500E-3
9.000E-9	202.000E-3
10.000E-9	238.500E-3
