Extended_Flutes_13-Nov-20_2:22:19 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 23.3	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-282.210E-3
-9.000E-9	-291.960E-3
-8.000E-9	-283.780E-3
-7.000E-9	-272.500E-3
-6.000E-9	-254.850E-3
-5.000E-9	-231.170E-3
-4.000E-9	-191.210E-3
-3.000E-9	-152.590E-3
-2.000E-9	-118.640E-3
-1.000E-9	-97.980E-3
0.000E+0	-65.450E-3
1.000E-9	-33.080E-3
2.000E-9	-10.940E-3
3.000E-9	23.140E-3
4.000E-9	55.580E-3
5.000E-9	77.820E-3
6.000E-9	111.890E-3
7.000E-9	144.500E-3
8.000E-9	177.030E-3
9.000E-9	208.120E-3
10.000E-9	227.280E-3
