Extended_Flutes_18-Nov-20_9:45:09 AM	Left_PQC4_CCPoly_IV
Temperature(C)= 20.1	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-281.990E-3
-9.000E-9	-291.740E-3
-8.000E-9	-283.200E-3
-7.000E-9	-271.830E-3
-6.000E-9	-254.350E-3
-5.000E-9	-217.220E-3
-4.000E-9	-181.500E-3
-3.000E-9	-157.690E-3
-2.000E-9	-133.970E-3
-1.000E-9	-110.250E-3
0.000E+0	-71.760E-3
1.000E-9	-46.640E-3
2.000E-9	-6.610E-3
3.000E-9	27.530E-3
4.000E-9	60.220E-3
5.000E-9	81.090E-3
6.000E-9	113.840E-3
7.000E-9	136.180E-3
8.000E-9	160.020E-3
9.000E-9	198.380E-3
10.000E-9	222.110E-3
