Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.8	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-305.620E-3
-9.000E-9	-318.010E-3
-8.000E-9	-313.900E-3
-7.000E-9	-301.910E-3
-6.000E-9	-271.640E-3
-5.000E-9	-245.780E-3
-4.000E-9	-202.180E-3
-3.000E-9	-164.940E-3
-2.000E-9	-140.750E-3
-1.000E-9	-103.740E-3
0.000E+0	-68.190E-3
1.000E-9	-32.800E-3
2.000E-9	1.250E-3
3.000E-9	33.690E-3
4.000E-9	65.930E-3
5.000E-9	98.390E-3
6.000E-9	130.550E-3
7.000E-9	163.010E-3
8.000E-9	184.130E-3
9.000E-9	208.440E-3
10.000E-9	247.190E-3
