Extended_Flutes_18-Nov-20_3:32:06 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 23.1	Humidity(%)= 5.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-355.680E-3
-9.000E-9	-374.490E-3
-8.000E-9	-366.750E-3
-7.000E-9	-343.650E-3
-6.000E-9	-320.840E-3
-5.000E-9	-290.180E-3
-4.000E-9	-243.950E-3
-3.000E-9	-213.190E-3
-2.000E-9	-180.290E-3
-1.000E-9	-145.840E-3
0.000E+0	-94.330E-3
1.000E-9	-44.660E-3
2.000E-9	-560.000E-6
3.000E-9	26.300E-3
4.000E-9	68.450E-3
5.000E-9	110.900E-3
6.000E-9	152.980E-3
7.000E-9	179.930E-3
8.000E-9	222.160E-3
9.000E-9	264.180E-3
10.000E-9	306.180E-3
