Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.0	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-299.850E-3
-9.000E-9	-309.380E-3
-8.000E-9	-299.900E-3
-7.000E-9	-287.850E-3
-6.000E-9	-258.100E-3
-5.000E-9	-223.390E-3
-4.000E-9	-199.660E-3
-3.000E-9	-163.470E-3
-2.000E-9	-128.900E-3
-1.000E-9	-105.270E-3
0.000E+0	-69.140E-3
1.000E-9	-34.430E-3
2.000E-9	150.000E-6
3.000E-9	33.130E-3
4.000E-9	53.570E-3
5.000E-9	88.290E-3
6.000E-9	123.000E-3
7.000E-9	146.720E-3
8.000E-9	182.920E-3
9.000E-9	206.450E-3
10.000E-9	231.590E-3
