Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CCPoly_IV
Temperature(C)= 19.3	Humidity(%)= 7.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-290.170E-3
-9.000E-9	-300.050E-3
-8.000E-9	-294.850E-3
-7.000E-9	-283.110E-3
-6.000E-9	-265.080E-3
-5.000E-9	-240.780E-3
-4.000E-9	-197.940E-3
-3.000E-9	-156.490E-3
-2.000E-9	-132.070E-3
-1.000E-9	-107.660E-3
0.000E+0	-71.100E-3
1.000E-9	-46.710E-3
2.000E-9	-7.060E-3
3.000E-9	17.380E-3
4.000E-9	41.800E-3
5.000E-9	81.670E-3
6.000E-9	118.450E-3
7.000E-9	153.770E-3
8.000E-9	185.960E-3
9.000E-9	205.740E-3
10.000E-9	228.530E-3
