Extended_Flutes_23-Nov-20_12:23:39 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 20.9	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-268.960E-3
-9.000E-9	-276.500E-3
-8.000E-9	-271.600E-3
-7.000E-9	-253.810E-3
-6.000E-9	-227.220E-3
-5.000E-9	-206.150E-3
-4.000E-9	-173.690E-3
-3.000E-9	-142.850E-3
-2.000E-9	-121.850E-3
-1.000E-9	-99.380E-3
0.000E+0	-65.570E-3
1.000E-9	-43.100E-3
2.000E-9	-6.500E-3
3.000E-9	25.990E-3
4.000E-9	46.900E-3
5.000E-9	69.470E-3
6.000E-9	103.230E-3
7.000E-9	125.790E-3
8.000E-9	162.350E-3
9.000E-9	194.810E-3
10.000E-9	215.830E-3
