Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC1_VDPStop_r
Temperature(C)= 22.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.100E-3
-950.000E-9	-4.080E-3
-900.000E-9	-4.040E-3
-850.000E-9	-3.890E-3
-800.000E-9	-3.680E-3
-750.000E-9	-3.450E-3
-700.000E-9	-3.230E-3
-650.000E-9	-3.030E-3
-600.000E-9	-2.820E-3
-550.000E-9	-2.620E-3
-500.000E-9	-2.490E-3
-450.000E-9	-2.260E-3
-400.000E-9	-2.120E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.710E-3
-250.000E-9	-1.460E-3
-200.000E-9	-1.220E-3
-150.000E-9	-990.000E-6
-100.000E-9	-760.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-340.000E-6
50.000E-9	-140.000E-6
100.000E-9	60.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	670.000E-6
300.000E-9	880.000E-6
350.000E-9	1.090E-3
400.000E-9	1.210E-3
450.000E-9	1.440E-3
500.000E-9	1.660E-3
550.000E-9	1.890E-3
600.000E-9	2.110E-3
650.000E-9	2.330E-3
700.000E-9	2.450E-3
750.000E-9	2.680E-3
800.000E-9	2.910E-3
850.000E-9	3.050E-3
900.000E-9	3.290E-3
950.000E-9	3.440E-3
1.000E-6	3.690E-3
