Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.220E-3
-9.500E-6	-5.190E-3
-9.000E-6	-5.140E-3
-8.500E-6	-4.960E-3
-8.000E-6	-4.800E-3
-7.500E-6	-4.480E-3
-7.000E-6	-4.170E-3
-6.500E-6	-3.880E-3
-6.000E-6	-3.590E-3
-5.500E-6	-3.330E-3
-5.000E-6	-3.070E-3
-4.500E-6	-2.810E-3
-4.000E-6	-2.660E-3
-3.500E-6	-2.370E-3
-3.000E-6	-2.080E-3
-2.500E-6	-1.790E-3
-2.000E-6	-1.610E-3
-1.500E-6	-1.320E-3
-1.000E-6	-1.040E-3
-500.000E-9	-750.000E-6
-1.694E-21	-460.000E-6
500.000E-9	-200.000E-6
1.000E-6	50.000E-6
1.500E-6	320.000E-6
2.000E-6	580.000E-6
2.500E-6	840.000E-6
3.000E-6	1.100E-3
3.500E-6	1.260E-3
4.000E-6	1.540E-3
4.500E-6	1.830E-3
5.000E-6	2.120E-3
5.500E-6	2.410E-3
6.000E-6	2.680E-3
6.500E-6	2.950E-3
7.000E-6	3.210E-3
7.500E-6	3.370E-3
8.000E-6	3.650E-3
8.500E-6	3.930E-3
9.000E-6	4.210E-3
9.500E-6	4.400E-3
10.000E-6	4.680E-3
