Extended_Flutes_23-Nov-20_1:22:11 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 20.9	Humidity(%)= 6.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.230E-3
-9.500E-6	-5.200E-3
-9.000E-6	-5.100E-3
-8.500E-6	-4.920E-3
-8.000E-6	-4.650E-3
-7.500E-6	-4.390E-3
-7.000E-6	-4.130E-3
-6.500E-6	-3.870E-3
-6.000E-6	-3.610E-3
-5.500E-6	-3.450E-3
-5.000E-6	-3.160E-3
-4.500E-6	-2.870E-3
-4.000E-6	-2.590E-3
-3.500E-6	-2.300E-3
-3.000E-6	-2.040E-3
-2.500E-6	-1.770E-3
-2.000E-6	-1.510E-3
-1.500E-6	-1.250E-3
-1.000E-6	-990.000E-6
-500.000E-9	-730.000E-6
-1.694E-21	-470.000E-6
500.000E-9	-310.000E-6
1.000E-6	-20.000E-6
1.500E-6	260.000E-6
2.000E-6	550.000E-6
2.500E-6	830.000E-6
3.000E-6	1.100E-3
3.500E-6	1.360E-3
4.000E-6	1.620E-3
4.500E-6	1.880E-3
5.000E-6	2.140E-3
5.500E-6	2.410E-3
6.000E-6	2.670E-3
6.500E-6	2.830E-3
7.000E-6	3.110E-3
7.500E-6	3.400E-3
8.000E-6	3.690E-3
8.500E-6	3.980E-3
9.000E-6	4.240E-3
9.500E-6	4.500E-3
10.000E-6	4.760E-3
