Custom_Flutes_25-Nov-20_12:41:08 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 19.9	Humidity(%)= 16.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.170E-3
-9.500E-6	-5.150E-3
-9.000E-6	-5.040E-3
-8.500E-6	-4.860E-3
-8.000E-6	-4.600E-3
-7.500E-6	-4.340E-3
-7.000E-6	-4.080E-3
-6.500E-6	-3.830E-3
-6.000E-6	-3.570E-3
-5.500E-6	-3.310E-3
-5.000E-6	-3.050E-3
-4.500E-6	-2.790E-3
-4.000E-6	-2.530E-3
-3.500E-6	-2.270E-3
-3.000E-6	-2.110E-3
-2.500E-6	-1.830E-3
-2.000E-6	-1.540E-3
-1.500E-6	-1.260E-3
-1.000E-6	-970.000E-6
-500.000E-9	-710.000E-6
-1.694E-21	-450.000E-6
500.000E-9	-190.000E-6
1.000E-6	50.000E-6
1.500E-6	310.000E-6
2.000E-6	570.000E-6
2.500E-6	830.000E-6
3.000E-6	1.090E-3
3.500E-6	1.350E-3
4.000E-6	1.610E-3
4.500E-6	1.870E-3
5.000E-6	2.130E-3
5.500E-6	2.390E-3
6.000E-6	2.650E-3
6.500E-6	2.910E-3
7.000E-6	3.160E-3
7.500E-6	3.420E-3
8.000E-6	3.680E-3
8.500E-6	3.940E-3
9.000E-6	4.200E-3
9.500E-6	4.460E-3
10.000E-6	4.720E-3
