Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC1_VDPStop_r
Temperature(C)= 23.4	Humidity(%)= 19.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.310E-3
-950.000E-9	-4.290E-3
-900.000E-9	-4.210E-3
-850.000E-9	-4.050E-3
-800.000E-9	-3.860E-3
-750.000E-9	-3.650E-3
-700.000E-9	-3.390E-3
-650.000E-9	-3.150E-3
-600.000E-9	-2.940E-3
-550.000E-9	-2.770E-3
-500.000E-9	-2.550E-3
-450.000E-9	-2.250E-3
-400.000E-9	-1.970E-3
-350.000E-9	-1.760E-3
-300.000E-9	-1.540E-3
-250.000E-9	-1.330E-3
-200.000E-9	-1.120E-3
-150.000E-9	-900.000E-6
-100.000E-9	-710.000E-6
-50.000E-9	-490.000E-6
0.000E+0	-290.000E-6
50.000E-9	-100.000E-6
100.000E-9	70.000E-6
150.000E-9	270.000E-6
200.000E-9	480.000E-6
250.000E-9	720.000E-6
300.000E-9	910.000E-6
350.000E-9	1.110E-3
400.000E-9	1.310E-3
450.000E-9	1.490E-3
500.000E-9	1.690E-3
550.000E-9	1.880E-3
600.000E-9	2.070E-3
650.000E-9	2.310E-3
700.000E-9	2.450E-3
750.000E-9	2.630E-3
800.000E-9	2.790E-3
850.000E-9	3.060E-3
900.000E-9	3.320E-3
950.000E-9	3.560E-3
1.000E-6	3.790E-3
