Custom_Flutes_23-Nov-20_4:18:05 PM	Left_PQC1_VDPStop_s
Temperature(C)= 21.6	Humidity(%)= 18.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.210E-3
-950.000E-9	-4.190E-3
-900.000E-9	-4.110E-3
-850.000E-9	-3.960E-3
-800.000E-9	-3.750E-3
-750.000E-9	-3.620E-3
-700.000E-9	-3.380E-3
-650.000E-9	-3.150E-3
-600.000E-9	-2.920E-3
-550.000E-9	-2.690E-3
-500.000E-9	-2.480E-3
-450.000E-9	-2.270E-3
-400.000E-9	-2.060E-3
-350.000E-9	-1.840E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.410E-3
-200.000E-9	-1.200E-3
-150.000E-9	-1.000E-3
-100.000E-9	-790.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-360.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	260.000E-6
200.000E-9	480.000E-6
250.000E-9	690.000E-6
300.000E-9	900.000E-6
350.000E-9	1.110E-3
400.000E-9	1.320E-3
450.000E-9	1.530E-3
500.000E-9	1.740E-3
550.000E-9	1.950E-3
600.000E-9	2.160E-3
650.000E-9	2.380E-3
700.000E-9	2.590E-3
750.000E-9	2.710E-3
800.000E-9	2.940E-3
850.000E-9	3.180E-3
900.000E-9	3.410E-3
950.000E-9	3.650E-3
1.000E-6	3.860E-3
