Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC1_VDPPoly_r
Temperature(C)= 23.4	Humidity(%)= 7.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.170E-3
-9.500E-6	-5.140E-3
-9.000E-6	-5.040E-3
-8.500E-6	-4.860E-3
-8.000E-6	-4.600E-3
-7.500E-6	-4.340E-3
-7.000E-6	-4.080E-3
-6.500E-6	-3.820E-3
-6.000E-6	-3.560E-3
-5.500E-6	-3.300E-3
-5.000E-6	-3.040E-3
-4.500E-6	-2.790E-3
-4.000E-6	-2.530E-3
-3.500E-6	-2.370E-3
-3.000E-6	-2.090E-3
-2.500E-6	-1.800E-3
-2.000E-6	-1.520E-3
-1.500E-6	-1.240E-3
-1.000E-6	-1.080E-3
-500.000E-9	-790.000E-6
-1.694E-21	-510.000E-6
500.000E-9	-330.000E-6
1.000E-6	-20.000E-6
1.500E-6	250.000E-6
2.000E-6	540.000E-6
2.500E-6	820.000E-6
3.000E-6	1.080E-3
3.500E-6	1.340E-3
4.000E-6	1.600E-3
4.500E-6	1.750E-3
5.000E-6	2.040E-3
5.500E-6	2.320E-3
6.000E-6	2.610E-3
6.500E-6	2.890E-3
7.000E-6	3.150E-3
7.500E-6	3.410E-3
8.000E-6	3.560E-3
8.500E-6	3.850E-3
9.000E-6	4.130E-3
9.500E-6	4.310E-3
10.000E-6	4.620E-3
