Extended_Flutes_18-Nov-20_2:17:50 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.5	Humidity(%)= 21.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.250E-3
-950.000E-9	-4.240E-3
-900.000E-9	-4.150E-3
-850.000E-9	-4.000E-3
-800.000E-9	-3.790E-3
-750.000E-9	-3.660E-3
-700.000E-9	-3.420E-3
-650.000E-9	-3.190E-3
-600.000E-9	-2.950E-3
-550.000E-9	-2.800E-3
-500.000E-9	-2.570E-3
-450.000E-9	-2.330E-3
-400.000E-9	-2.110E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.660E-3
-250.000E-9	-1.440E-3
-200.000E-9	-1.230E-3
-150.000E-9	-1.020E-3
-100.000E-9	-800.000E-6
-50.000E-9	-590.000E-6
0.000E+0	-370.000E-6
50.000E-9	-240.000E-6
100.000E-9	-90.000E-6
150.000E-9	150.000E-6
200.000E-9	400.000E-6
250.000E-9	650.000E-6
300.000E-9	800.000E-6
350.000E-9	1.030E-3
400.000E-9	1.270E-3
450.000E-9	1.500E-3
500.000E-9	1.740E-3
550.000E-9	1.950E-3
600.000E-9	2.080E-3
650.000E-9	2.320E-3
700.000E-9	2.560E-3
750.000E-9	2.710E-3
800.000E-9	2.960E-3
850.000E-9	3.190E-3
900.000E-9	3.420E-3
950.000E-9	3.660E-3
1.000E-6	3.870E-3
