Extended_Flutes_18-Nov-20_5:24:39 PM	Left_PQC1_VDPPoly_r
Temperature(C)= 23.4	Humidity(%)= 22.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.320E-3
-9.500E-6	-5.290E-3
-9.000E-6	-5.220E-3
-8.500E-6	-5.050E-3
-8.000E-6	-4.800E-3
-7.500E-6	-4.540E-3
-7.000E-6	-4.220E-3
-6.500E-6	-3.950E-3
-6.000E-6	-3.680E-3
-5.500E-6	-3.420E-3
-5.000E-6	-3.160E-3
-4.500E-6	-2.900E-3
-4.000E-6	-2.690E-3
-3.500E-6	-2.450E-3
-3.000E-6	-2.190E-3
-2.500E-6	-1.960E-3
-2.000E-6	-1.700E-3
-1.500E-6	-1.460E-3
-1.000E-6	-1.180E-3
-500.000E-9	-910.000E-6
-1.694E-21	-640.000E-6
500.000E-9	-400.000E-6
1.000E-6	-130.000E-6
1.500E-6	120.000E-6
2.000E-6	390.000E-6
2.500E-6	640.000E-6
3.000E-6	910.000E-6
3.500E-6	1.120E-3
4.000E-6	1.380E-3
4.500E-6	1.630E-3
5.000E-6	1.810E-3
5.500E-6	2.100E-3
6.000E-6	2.380E-3
6.500E-6	2.700E-3
7.000E-6	2.970E-3
7.500E-6	3.240E-3
8.000E-6	3.460E-3
8.500E-6	3.700E-3
9.000E-6	3.960E-3
9.500E-6	4.180E-3
10.000E-6	4.440E-3
