Custom_Flutes_23-Nov-20_4:18:05 PM	Left_PQC1_VDPStrip_s
Temperature(C)= 21.6	Humidity(%)= 19.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.680E-3
-950.000E-6	-7.640E-3
-900.000E-6	-7.490E-3
-850.000E-6	-7.220E-3
-800.000E-6	-6.840E-3
-750.000E-6	-6.450E-3
-700.000E-6	-6.070E-3
-650.000E-6	-5.690E-3
-600.000E-6	-5.300E-3
-550.000E-6	-4.910E-3
-500.000E-6	-4.530E-3
-450.000E-6	-4.150E-3
-400.000E-6	-3.760E-3
-350.000E-6	-3.380E-3
-300.000E-6	-3.000E-3
-250.000E-6	-2.610E-3
-200.000E-6	-2.230E-3
-150.000E-6	-1.840E-3
-100.000E-6	-1.460E-3
-50.000E-6	-1.070E-3
0.000E+0	-840.000E-6
50.000E-6	-420.000E-6
100.000E-6	-0.000E+0
150.000E-6	410.000E-6
200.000E-6	840.000E-6
250.000E-6	1.220E-3
300.000E-6	1.600E-3
350.000E-6	1.990E-3
400.000E-6	2.370E-3
450.000E-6	2.760E-3
500.000E-6	3.150E-3
550.000E-6	3.530E-3
600.000E-6	3.920E-3
650.000E-6	4.300E-3
700.000E-6	4.680E-3
750.000E-6	5.070E-3
800.000E-6	5.450E-3
850.000E-6	5.830E-3
900.000E-6	6.220E-3
950.000E-6	6.600E-3
1.000E-3	6.990E-3
