Custom_Flutes_13-Nov-20_1:42:27 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.5	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-3.970E-3
-950.000E-9	-3.900E-3
-900.000E-9	-3.820E-3
-850.000E-9	-3.690E-3
-800.000E-9	-3.490E-3
-750.000E-9	-3.290E-3
-700.000E-9	-3.170E-3
-650.000E-9	-3.000E-3
-600.000E-9	-2.810E-3
-550.000E-9	-2.540E-3
-500.000E-9	-2.300E-3
-450.000E-9	-2.100E-3
-400.000E-9	-1.920E-3
-350.000E-9	-1.800E-3
-300.000E-9	-1.560E-3
-250.000E-9	-1.340E-3
-200.000E-9	-1.100E-3
-150.000E-9	-900.000E-6
-100.000E-9	-700.000E-6
-50.000E-9	-510.000E-6
0.000E+0	-280.000E-6
50.000E-9	-80.000E-6
100.000E-9	80.000E-6
150.000E-9	280.000E-6
200.000E-9	480.000E-6
250.000E-9	690.000E-6
300.000E-9	900.000E-6
350.000E-9	1.100E-3
400.000E-9	1.230E-3
450.000E-9	1.440E-3
500.000E-9	1.640E-3
550.000E-9	1.840E-3
600.000E-9	2.060E-3
650.000E-9	2.280E-3
700.000E-9	2.490E-3
750.000E-9	2.700E-3
800.000E-9	2.900E-3
850.000E-9	3.030E-3
900.000E-9	3.260E-3
950.000E-9	3.490E-3
1.000E-6	3.700E-3
