Custom_Flutes_23-Nov-20_4:37:22 PM	Right_PQC1_VDPStop_r
Temperature(C)= 21.7	Humidity(%)= 10.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.150E-3
-950.000E-9	-4.130E-3
-900.000E-9	-4.040E-3
-850.000E-9	-3.890E-3
-800.000E-9	-3.680E-3
-750.000E-9	-3.480E-3
-700.000E-9	-3.280E-3
-650.000E-9	-3.070E-3
-600.000E-9	-2.860E-3
-550.000E-9	-2.650E-3
-500.000E-9	-2.430E-3
-450.000E-9	-2.230E-3
-400.000E-9	-2.030E-3
-350.000E-9	-1.820E-3
-300.000E-9	-1.610E-3
-250.000E-9	-1.410E-3
-200.000E-9	-1.200E-3
-150.000E-9	-990.000E-6
-100.000E-9	-780.000E-6
-50.000E-9	-570.000E-6
0.000E+0	-360.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	250.000E-6
200.000E-9	460.000E-6
250.000E-9	670.000E-6
300.000E-9	870.000E-6
350.000E-9	1.070E-3
400.000E-9	1.280E-3
450.000E-9	1.490E-3
500.000E-9	1.690E-3
550.000E-9	1.900E-3
600.000E-9	2.110E-3
650.000E-9	2.310E-3
700.000E-9	2.520E-3
750.000E-9	2.730E-3
800.000E-9	2.940E-3
850.000E-9	3.150E-3
900.000E-9	3.360E-3
950.000E-9	3.560E-3
1.000E-6	3.690E-3
