Extended_Flutes_11-Nov-20_2:02:02 PM	Left_PQC1_VDPStop_r
Temperature(C)= 23.0	Humidity(%)= 22.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.240E-3
-950.000E-9	-4.210E-3
-900.000E-9	-4.130E-3
-850.000E-9	-3.970E-3
-800.000E-9	-3.760E-3
-750.000E-9	-3.550E-3
-700.000E-9	-3.340E-3
-650.000E-9	-3.130E-3
-600.000E-9	-2.920E-3
-550.000E-9	-2.710E-3
-500.000E-9	-2.580E-3
-450.000E-9	-2.340E-3
-400.000E-9	-2.110E-3
-350.000E-9	-1.880E-3
-300.000E-9	-1.640E-3
-250.000E-9	-1.430E-3
-200.000E-9	-1.220E-3
-150.000E-9	-1.010E-3
-100.000E-9	-790.000E-6
-50.000E-9	-580.000E-6
0.000E+0	-370.000E-6
50.000E-9	-160.000E-6
100.000E-9	40.000E-6
150.000E-9	260.000E-6
200.000E-9	470.000E-6
250.000E-9	680.000E-6
300.000E-9	890.000E-6
350.000E-9	1.110E-3
400.000E-9	1.320E-3
450.000E-9	1.530E-3
500.000E-9	1.740E-3
550.000E-9	1.960E-3
600.000E-9	2.170E-3
650.000E-9	2.380E-3
700.000E-9	2.590E-3
750.000E-9	2.810E-3
800.000E-9	3.020E-3
850.000E-9	3.230E-3
900.000E-9	3.440E-3
950.000E-9	3.650E-3
1.000E-6	3.870E-3
