Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC1_VDPStrip_r
Temperature(C)= 21.5	Humidity(%)= 24.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.680E-3
-950.000E-6	-7.640E-3
-900.000E-6	-7.560E-3
-850.000E-6	-7.290E-3
-800.000E-6	-6.910E-3
-750.000E-6	-6.490E-3
-700.000E-6	-6.070E-3
-650.000E-6	-5.680E-3
-600.000E-6	-5.300E-3
-550.000E-6	-4.910E-3
-500.000E-6	-4.530E-3
-450.000E-6	-4.140E-3
-400.000E-6	-3.760E-3
-350.000E-6	-3.380E-3
-300.000E-6	-2.990E-3
-250.000E-6	-2.610E-3
-200.000E-6	-2.220E-3
-150.000E-6	-1.830E-3
-100.000E-6	-1.450E-3
-50.000E-6	-1.220E-3
0.000E+0	-790.000E-6
50.000E-6	-370.000E-6
100.000E-6	40.000E-6
150.000E-6	460.000E-6
200.000E-6	850.000E-6
250.000E-6	1.230E-3
300.000E-6	1.620E-3
350.000E-6	2.000E-3
400.000E-6	2.390E-3
450.000E-6	2.770E-3
500.000E-6	3.160E-3
550.000E-6	3.390E-3
600.000E-6	3.810E-3
650.000E-6	4.240E-3
700.000E-6	4.510E-3
750.000E-6	4.970E-3
800.000E-6	5.390E-3
850.000E-6	5.810E-3
900.000E-6	6.240E-3
950.000E-6	6.620E-3
1.000E-3	7.010E-3
