Custom_Flutes_13-Nov-20_1:42:27 PM	Left_PQC1_VDPStop_s
Temperature(C)= 22.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.050E-3
-950.000E-9	-4.020E-3
-900.000E-9	-3.950E-3
-850.000E-9	-3.860E-3
-800.000E-9	-3.660E-3
-750.000E-9	-3.530E-3
-700.000E-9	-3.360E-3
-650.000E-9	-3.130E-3
-600.000E-9	-2.920E-3
-550.000E-9	-2.780E-3
-500.000E-9	-2.540E-3
-450.000E-9	-2.320E-3
-400.000E-9	-2.060E-3
-350.000E-9	-1.830E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.450E-3
-200.000E-9	-1.250E-3
-150.000E-9	-1.130E-3
-100.000E-9	-910.000E-6
-50.000E-9	-680.000E-6
0.000E+0	-420.000E-6
50.000E-9	-260.000E-6
100.000E-9	-40.000E-6
150.000E-9	150.000E-6
200.000E-9	360.000E-6
250.000E-9	580.000E-6
300.000E-9	710.000E-6
350.000E-9	940.000E-6
400.000E-9	1.150E-3
450.000E-9	1.300E-3
500.000E-9	1.530E-3
550.000E-9	1.740E-3
600.000E-9	1.960E-3
650.000E-9	2.100E-3
700.000E-9	2.250E-3
750.000E-9	2.450E-3
800.000E-9	2.600E-3
850.000E-9	2.850E-3
900.000E-9	3.120E-3
950.000E-9	3.390E-3
1.000E-6	3.650E-3
