Custom_Flutes_23-Nov-20_6:29:50 PM	Right_PQC1_VDPStrip_r
Temperature(C)= 22.2	Humidity(%)= 13.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-3	-7.750E-3
-950.000E-6	-7.800E-3
-900.000E-6	-7.670E-3
-850.000E-6	-7.450E-3
-800.000E-6	-7.060E-3
-750.000E-6	-6.700E-3
-700.000E-6	-6.440E-3
-650.000E-6	-6.080E-3
-600.000E-6	-5.720E-3
-550.000E-6	-5.290E-3
-500.000E-6	-4.820E-3
-450.000E-6	-4.400E-3
-400.000E-6	-4.040E-3
-350.000E-6	-3.750E-3
-300.000E-6	-3.390E-3
-250.000E-6	-3.000E-3
-200.000E-6	-2.550E-3
-150.000E-6	-2.110E-3
-100.000E-6	-1.720E-3
-50.000E-6	-1.290E-3
0.000E+0	-910.000E-6
50.000E-6	-540.000E-6
100.000E-6	-200.000E-6
150.000E-6	130.000E-6
200.000E-6	510.000E-6
250.000E-6	920.000E-6
300.000E-6	1.330E-3
350.000E-6	1.660E-3
400.000E-6	1.930E-3
450.000E-6	2.290E-3
500.000E-6	2.680E-3
550.000E-6	3.200E-3
600.000E-6	3.660E-3
650.000E-6	4.080E-3
700.000E-6	4.410E-3
750.000E-6	4.800E-3
800.000E-6	5.170E-3
850.000E-6	5.570E-3
900.000E-6	5.960E-3
950.000E-6	6.350E-3
1.000E-3	6.760E-3
