Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC1_VDPStop_r
Temperature(C)= 22.3	Humidity(%)= 18.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.290E-3
-950.000E-9	-4.360E-3
-900.000E-9	-4.240E-3
-850.000E-9	-4.260E-3
-800.000E-9	-4.190E-3
-750.000E-9	-4.010E-3
-700.000E-9	-3.820E-3
-650.000E-9	-3.540E-3
-600.000E-9	-3.380E-3
-550.000E-9	-3.170E-3
-500.000E-9	-2.950E-3
-450.000E-9	-2.660E-3
-400.000E-9	-2.350E-3
-350.000E-9	-2.040E-3
-300.000E-9	-1.790E-3
-250.000E-9	-1.650E-3
-200.000E-9	-1.540E-3
-150.000E-9	-1.390E-3
-100.000E-9	-1.190E-3
-50.000E-9	-960.000E-6
0.000E+0	-720.000E-6
50.000E-9	-480.000E-6
100.000E-9	-250.000E-6
150.000E-9	-0.000E+0
200.000E-9	190.000E-6
250.000E-9	300.000E-6
300.000E-9	490.000E-6
350.000E-9	620.000E-6
400.000E-9	930.000E-6
450.000E-9	1.180E-3
500.000E-9	1.650E-3
550.000E-9	2.020E-3
600.000E-9	2.260E-3
650.000E-9	2.390E-3
700.000E-9	2.500E-3
750.000E-9	2.710E-3
800.000E-9	2.970E-3
850.000E-9	3.200E-3
900.000E-9	3.390E-3
950.000E-9	3.580E-3
1.000E-6	3.740E-3
