Extended_Flutes_19-Nov-20_6:42:29 PM	Right_PQC1_VDPPoly_s
Temperature(C)= 22.5	Humidity(%)= 6.2
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-6	-5.240E-3
-9.500E-6	-5.210E-3
-9.000E-6	-5.110E-3
-8.500E-6	-4.920E-3
-8.000E-6	-4.660E-3
-7.500E-6	-4.400E-3
-7.000E-6	-4.240E-3
-6.500E-6	-3.950E-3
-6.000E-6	-3.670E-3
-5.500E-6	-3.480E-3
-5.000E-6	-3.270E-3
-4.500E-6	-2.950E-3
-4.000E-6	-2.640E-3
-3.500E-6	-2.320E-3
-3.000E-6	-2.030E-3
-2.500E-6	-1.880E-3
-2.000E-6	-1.690E-3
-1.500E-6	-1.480E-3
-1.000E-6	-1.140E-3
-500.000E-9	-800.000E-6
-1.694E-21	-490.000E-6
500.000E-9	-200.000E-6
1.000E-6	50.000E-6
1.500E-6	210.000E-6
2.000E-6	500.000E-6
2.500E-6	790.000E-6
3.000E-6	1.070E-3
3.500E-6	1.360E-3
4.000E-6	1.620E-3
4.500E-6	1.780E-3
5.000E-6	2.070E-3
5.500E-6	2.360E-3
6.000E-6	2.650E-3
6.500E-6	2.940E-3
7.000E-6	3.200E-3
7.500E-6	3.470E-3
8.000E-6	3.730E-3
8.500E-6	3.990E-3
9.000E-6	4.250E-3
9.500E-6	4.510E-3
10.000E-6	4.770E-3
