Extended_Flutes_19-Nov-20_5:39:54 PM	Left_PQC1_VDPStop_s
Temperature(C)= 22.3	Humidity(%)= 18.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-1.000E-6	-4.220E-3
-950.000E-9	-4.190E-3
-900.000E-9	-4.110E-3
-850.000E-9	-3.960E-3
-800.000E-9	-3.750E-3
-750.000E-9	-3.540E-3
-700.000E-9	-3.320E-3
-650.000E-9	-3.110E-3
-600.000E-9	-2.890E-3
-550.000E-9	-2.680E-3
-500.000E-9	-2.470E-3
-450.000E-9	-2.340E-3
-400.000E-9	-2.100E-3
-350.000E-9	-1.870E-3
-300.000E-9	-1.630E-3
-250.000E-9	-1.400E-3
-200.000E-9	-1.180E-3
-150.000E-9	-970.000E-6
-100.000E-9	-760.000E-6
-50.000E-9	-550.000E-6
0.000E+0	-340.000E-6
50.000E-9	-130.000E-6
100.000E-9	80.000E-6
150.000E-9	290.000E-6
200.000E-9	500.000E-6
250.000E-9	700.000E-6
300.000E-9	910.000E-6
350.000E-9	1.110E-3
400.000E-9	1.320E-3
450.000E-9	1.540E-3
500.000E-9	1.740E-3
550.000E-9	1.970E-3
600.000E-9	2.150E-3
650.000E-9	2.410E-3
700.000E-9	2.620E-3
750.000E-9	2.890E-3
800.000E-9	3.080E-3
850.000E-9	3.270E-3
900.000E-9	3.460E-3
950.000E-9	3.710E-3
1.000E-6	3.980E-3
